;data_iniSE;SE;casos;nivel;pop;tempmin;umidmax;umidmed;umidmin;tempmed;tempmax;municipios;index;latitude;longitude
0;2025-05-25;202522;10;4;181228.0;15.5173;90.349625;78.318125;59.274025;19.300425;23.810225;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
1;2025-05-18;202521;36;4;181228.0;16.3812142857143;92.6010142857143;81.5830428571429;64.1386;19.3835142857143;22.7068285714286;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
2;2025-05-11;202520;102;4;181228.0;15.8418;92.1190571428571;83.4876142857143;69.0398857142857;17.9500571428571;20.4492428571429;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
3;2025-05-04;202519;153;4;181228.0;16.8899857142857;91.8682857142857;79.2360428571429;58.7887285714286;20.2322;24.3690285714286;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
4;2025-04-27;202518;198;4;181228.0;16.8330285714286;94.2416142857143;84.2413285714286;66.3386571428571;19.0631714285714;22.0587285714286;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
5;2025-04-20;202517;389;4;181228.0;18.1279;94.4364142857143;87.7176142857143;76.5401857142857;19.6936428571429;21.9778285714286;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
6;2025-04-13;202516;465;4;181228.0;18.9291142857143;94.8766714285714;86.8387571428571;72.4467;20.9525285714286;23.8232857142857;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
7;2025-04-06;202515;489;4;181228.0;17.6982;94.6867142857143;83.1671428571428;67.1037571428571;19.8323142857143;22.8326571428571;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
8;2025-03-30;202514;400;4;181228.0;20.2603285714286;95.5666285714286;86.1827857142857;72.3869857142857;22.6532285714286;25.5554428571429;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
9;2025-03-23;202513;236;4;181228.0;19.8880571428571;94.4681857142857;84.3159714285714;68.7457142857143;22.4143;25.6595857142857;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
10;2025-03-16;202512;283;4;181228.0;19.4447428571429;94.5501857142857;87.2464714285714;74.9767571428571;21.3635285714286;23.8906714285714;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
11;2025-03-09;202511;251;4;181228.0;20.9405571428571;94.9239428571429;87.4445428571429;74.3652571428571;23.0511428571429;26.4349142857143;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
12;2025-03-02;202510;267;4;181228.0;20.4262857142857;93.5065571428571;78.4758857142857;56.5254142857143;23.3672428571429;27.0484714285714;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
13;2025-02-23;202509;166;4;181228.0;20.9915428571429;93.8236571428571;76.6391857142857;53.0786142857143;24.3804857142857;28.2933428571429;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
14;2025-02-16;202508;90;4;181228.0;22.5120428571429;91.7270428571429;77.8789142857143;59.6564142857143;25.6682142857143;29.0669428571429;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
15;2025-02-09;202507;71;2;181228.0;21.7473571428571;91.5038;77.7263714285714;59.6550571428571;24.6258714285714;28.0621571428571;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
16;2025-02-02;202506;39;2;181228.0;21.6573142857143;93.5012571428571;79.7346142857143;61.9588571428571;24.6419142857143;27.8445;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
17;2025-01-26;202505;22;2;181228.0;21.4934571428571;95.4973428571429;90.3471142857143;81.9211428571429;22.7732;24.5438714285714;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
18;2025-01-19;202504;29;2;181228.0;22.9239428571429;89.4478714285714;78.5100857142857;62.4252571428571;25.6515571428571;28.8764714285714;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
19;2025-01-12;202503;38;2;181228.0;19.6617714285714;92.0634142857143;83.1183857142857;71.2080428571429;21.6951571428571;24.2849;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
20;2025-01-05;202502;37;2;181228.0;19.5014428571429;93.8487;87.0608285714286;76.1888142857143;21.2526571428571;23.7161857142857;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
21;2024-12-29;202501;24;2;181228.0;20.0730285714286;94.3197;84.2928571428571;67.5207;22.6390571428571;26.5188571428571;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
22;2024-12-22;202452;26;2;181228.0;20.6852571428571;95.4389;88.3107714285714;78.9704714285714;22.2724571428571;24.6109428571429;Angra dos Reis;3175;-22.986551395537003;-44.352753097880814
